,Country Code,Country Name,Subject,Measure,Year,Unit,PowerCode,Value
2467,CAN,Canada,GDP per head of population,"National currency, current prices",1986,National currency,Units,20177.179722
2468,CAN,Canada,GDP per head of population,"National currency, current prices",1987,National currency,Units,21716.817219999997
2469,CAN,Canada,GDP per head of population,"National currency, current prices",1988,National currency,Units,23398.772763999998
2470,CAN,Canada,GDP per head of population,"National currency, current prices",1989,National currency,Units,24620.903764
2471,CAN,Canada,GDP per head of population,"National currency, current prices",1990,National currency,Units,25116.374777
2472,CAN,Canada,GDP per head of population,"National currency, current prices",1991,National currency,Units,25029.870794
2473,CAN,Canada,GDP per head of population,"National currency, current prices",1992,National currency,Units,25322.66451
2474,CAN,Canada,GDP per head of population,"National currency, current prices",1993,National currency,Units,26042.989233
2475,CAN,Canada,GDP per head of population,"National currency, current prices",1994,National currency,Units,27308.754976
2476,CAN,Canada,GDP per head of population,"National currency, current prices",1995,National currency,Units,28380.730788999997
2477,CAN,Canada,GDP per head of population,"National currency, current prices",1996,National currency,Units,29038.421804
2478,CAN,Canada,GDP per head of population,"National currency, current prices",1997,National currency,Units,30325.940512
2479,CAN,Canada,GDP per head of population,"National currency, current prices",1998,National currency,Units,31190.270406
2480,CAN,Canada,GDP per head of population,"National currency, current prices",1999,National currency,Units,33154.090916
2481,CAN,Canada,GDP per head of population,"National currency, current prices",2000,National currency,Units,36045.125861
2482,CAN,Canada,GDP per head of population,"National currency, current prices",2001,National currency,Units,36895.864601
2483,CAN,Canada,GDP per head of population,"National currency, current prices",2002,National currency,Units,38064.12605
2484,CAN,Canada,GDP per head of population,"National currency, current prices",2003,National currency,Units,39651.936852
2485,CAN,Canada,GDP per head of population,"National currency, current prices",2004,National currency,Units,41819.148668
2486,CAN,Canada,GDP per head of population,"National currency, current prices",2005,National currency,Units,44088.850327
2487,CAN,Canada,GDP per head of population,"National currency, current prices",2006,National currency,Units,45948.727547
2488,CAN,Canada,GDP per head of population,"National currency, current prices",2007,National currency,Units,47969.223776
2489,CAN,Canada,GDP per head of population,"National currency, current prices",2008,National currency,Units,49840.139527
2490,CAN,Canada,GDP per head of population,"National currency, current prices",2009,National currency,Units,46725.710137
2491,CAN,Canada,GDP per head of population,"National currency, current prices",2010,National currency,Units,48994.366663
2492,CAN,Canada,GDP per head of population,"National currency, current prices",2011,National currency,Units,51662.717453
2493,CAN,Canada,GDP per head of population,"National currency, current prices",2012,National currency,Units,52635.51636
2494,CAN,Canada,GDP per head of population,"National currency, current prices",2013,National currency,Units,54221.403363
2495,CAN,Canada,GDP per head of population,"National currency, current prices",2014,National currency,Units,56293.521244
2496,CAN,Canada,GDP per head of population,"National currency, current prices",2015,National currency,Units,55750.108647
2497,CAN,Canada,GDP per head of population,"National currency, current prices",2016,National currency,Units,56094.261323
2498,CAN,Canada,GDP per head of population,"National currency, current prices",2017,National currency,Units,58590.925548
2499,CAN,Canada,GDP per head of population,"National currency, current prices",2018,National currency,Units,60010.526809
2500,CAN,Canada,GDP per head of population,"National currency, current prices",2019,National currency,Units,61290.85481900001
2512,CAN,Canada,GDP per hour worked,"National currency, current prices",1981,National currency,Units,17.696766
2513,CAN,Canada,GDP per hour worked,"National currency, current prices",1982,National currency,Units,19.528909
2514,CAN,Canada,GDP per hour worked,"National currency, current prices",1983,National currency,Units,21.13879
2515,CAN,Canada,GDP per hour worked,"National currency, current prices",1984,National currency,Units,22.481029
2516,CAN,Canada,GDP per hour worked,"National currency, current prices",1985,National currency,Units,23.440089
2517,CAN,Canada,GDP per hour worked,"National currency, current prices",1986,National currency,Units,23.962417000000002
2518,CAN,Canada,GDP per hour worked,"National currency, current prices",1987,National currency,Units,25.226445000000002
2519,CAN,Canada,GDP per hour worked,"National currency, current prices",1988,National currency,Units,26.624672999999998
2520,CAN,Canada,GDP per hour worked,"National currency, current prices",1989,National currency,Units,27.943484
2521,CAN,Canada,GDP per hour worked,"National currency, current prices",1990,National currency,Units,28.858902
2522,CAN,Canada,GDP per hour worked,"National currency, current prices",1991,National currency,Units,30.001019
2523,CAN,Canada,GDP per hour worked,"National currency, current prices",1992,National currency,Units,31.062034000000004
2524,CAN,Canada,GDP per hour worked,"National currency, current prices",1993,National currency,Units,32.098028
2525,CAN,Canada,GDP per hour worked,"National currency, current prices",1994,National currency,Units,33.212516
2526,CAN,Canada,GDP per hour worked,"National currency, current prices",1995,National currency,Units,34.375005
2527,CAN,Canada,GDP per hour worked,"National currency, current prices",1996,National currency,Units,34.897971999999996
2528,CAN,Canada,GDP per hour worked,"National currency, current prices",1997,National currency,Units,35.936411
2529,CAN,Canada,GDP per hour worked,"National currency, current prices",1998,National currency,Units,36.53836
2530,CAN,Canada,GDP per hour worked,"National currency, current prices",1999,National currency,Units,38.174312
2531,CAN,Canada,GDP per hour worked,"National currency, current prices",2000,National currency,Units,41.079983
2532,CAN,Canada,GDP per hour worked,"National currency, current prices",2001,National currency,Units,42.427541999999995
2533,CAN,Canada,GDP per hour worked,"National currency, current prices",2002,National currency,Units,43.650058
2534,CAN,Canada,GDP per hour worked,"National currency, current prices",2003,National currency,Units,45.182678
2535,CAN,Canada,GDP per hour worked,"National currency, current prices",2004,National currency,Units,47.05137
2536,CAN,Canada,GDP per hour worked,"National currency, current prices",2005,National currency,Units,49.598481
2537,CAN,Canada,GDP per hour worked,"National currency, current prices",2006,National currency,Units,51.418158
2538,CAN,Canada,GDP per hour worked,"National currency, current prices",2007,National currency,Units,53.09944300000001
2539,CAN,Canada,GDP per hour worked,"National currency, current prices",2008,National currency,Units,55.059412
2540,CAN,Canada,GDP per hour worked,"National currency, current prices",2009,National currency,Units,54.043651000000004
2541,CAN,Canada,GDP per hour worked,"National currency, current prices",2010,National currency,Units,56.149409
2542,CAN,Canada,GDP per hour worked,"National currency, current prices",2011,National currency,Units,58.913203
2543,CAN,Canada,GDP per hour worked,"National currency, current prices",2012,National currency,Units,59.758024
2544,CAN,Canada,GDP per hour worked,"National currency, current prices",2013,National currency,Units,61.603832
2545,CAN,Canada,GDP per hour worked,"National currency, current prices",2014,National currency,Units,64.449011
2546,CAN,Canada,GDP per hour worked,"National currency, current prices",2015,National currency,Units,63.714567
2547,CAN,Canada,GDP per hour worked,"National currency, current prices",2016,National currency,Units,64.397423
2548,CAN,Canada,GDP per hour worked,"National currency, current prices",2017,National currency,Units,67.245237
2549,CAN,Canada,GDP per hour worked,"National currency, current prices",2018,National currency,Units,68.407911
2550,CAN,Canada,GDP per hour worked,"National currency, current prices",2019,National currency,Units,70.080106
2562,CAN,Canada,GDP per person employed,"National currency, current prices",1981,National currency,Units,32061.254420999998
2563,CAN,Canada,GDP per person employed,"National currency, current prices",1982,National currency,Units,34938.508932
2564,CAN,Canada,GDP per person employed,"National currency, current prices",1983,National currency,Units,37610.179582
2565,CAN,Canada,GDP per person employed,"National currency, current prices",1984,National currency,Units,40227.689394
2566,CAN,Canada,GDP per person employed,"National currency, current prices",1985,National currency,Units,42069.745275
2567,CAN,Canada,GDP per person employed,"National currency, current prices",1986,National currency,Units,43065.301732
2568,CAN,Canada,GDP per person employed,"National currency, current prices",1987,National currency,Units,45585.104092
2569,CAN,Canada,GDP per person employed,"National currency, current prices",1988,National currency,Units,48142.037962
2570,CAN,Canada,GDP per person employed,"National currency, current prices",1989,National currency,Units,50364.919655
2571,CAN,Canada,GDP per person employed,"National currency, current prices",1990,National currency,Units,51862.452029
2572,CAN,Canada,GDP per person employed,"National currency, current prices",1991,National currency,Units,53246.800299
2573,CAN,Canada,GDP per person employed,"National currency, current prices",1992,National currency,Units,55050.092876999995
2574,CAN,Canada,GDP per person employed,"National currency, current prices",1993,National currency,Units,56779.728491999995
2575,CAN,Canada,GDP per person employed,"National currency, current prices",1994,National currency,Units,59043.531582
2576,CAN,Canada,GDP per person employed,"National currency, current prices",1995,National currency,Units,61031.58549600001
2577,CAN,Canada,GDP per person employed,"National currency, current prices",1996,National currency,Units,62457.64367899999
2578,CAN,Canada,GDP per person employed,"National currency, current prices",1997,National currency,Units,64598.445522
2579,CAN,Canada,GDP per person employed,"National currency, current prices",1998,National currency,Units,65527.866036
2580,CAN,Canada,GDP per person employed,"National currency, current prices",1999,National currency,Units,68431.25267100001
2581,CAN,Canada,GDP per person employed,"National currency, current prices",2000,National currency,Units,73404.88190800001
2582,CAN,Canada,GDP per person employed,"National currency, current prices",2001,National currency,Units,75260.929275
2583,CAN,Canada,GDP per person employed,"National currency, current prices",2002,National currency,Units,76613.065491
2584,CAN,Canada,GDP per person employed,"National currency, current prices",2003,National currency,Units,78826.189016
2585,CAN,Canada,GDP per person employed,"National currency, current prices",2004,National currency,Units,82558.531942
2586,CAN,Canada,GDP per person employed,"National currency, current prices",2005,National currency,Units,86539.605876
2587,CAN,Canada,GDP per person employed,"National currency, current prices",2006,National currency,Units,89687.19830399999
2588,CAN,Canada,GDP per person employed,"National currency, current prices",2007,National currency,Units,92591.961138
2589,CAN,Canada,GDP per person employed,"National currency, current prices",2008,National currency,Units,95866.808024
2590,CAN,Canada,GDP per person employed,"National currency, current prices",2009,National currency,Units,92502.666024
2591,CAN,Canada,GDP per person employed,"National currency, current prices",2010,National currency,Units,96303.436101
2592,CAN,Canada,GDP per person employed,"National currency, current prices",2011,National currency,Units,100955.88857000001
2593,CAN,Canada,GDP per person employed,"National currency, current prices",2012,National currency,Units,102882.96815
2594,CAN,Canada,GDP per person employed,"National currency, current prices",2013,National currency,Units,105715.18681
2595,CAN,Canada,GDP per person employed,"National currency, current prices",2014,National currency,Units,110261.74824000002
2596,CAN,Canada,GDP per person employed,"National currency, current prices",2015,National currency,Units,109068.09903
2597,CAN,Canada,GDP per person employed,"National currency, current prices",2016,National currency,Units,109865.63320999999
2598,CAN,Canada,GDP per person employed,"National currency, current prices",2017,National currency,Units,113954.49712
2599,CAN,Canada,GDP per person employed,"National currency, current prices",2018,National currency,Units,116821.21703
2600,CAN,Canada,GDP per person employed,"National currency, current prices",2019,National currency,Units,118500.02096
2612,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1981,US Dollar,Millions,324720.654
2613,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1982,US Dollar,Millions,333791.387
2614,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1983,US Dollar,Millions,355888.323
2615,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1984,US Dollar,Millions,390517.237
2616,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1985,US Dollar,Millions,421953.83700000006
2617,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1986,US Dollar,Millions,439679.44899999996
2618,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1987,US Dollar,Millions,468898.565
2619,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1988,US Dollar,Millions,506847.287
2620,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1989,US Dollar,Millions,538925.043
2621,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1990,US Dollar,Millions,560014.327
2622,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1991,US Dollar,Millions,566875.157
2623,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1992,US Dollar,Millions,585015.532
2624,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1993,US Dollar,Millions,614809.832
2625,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1994,US Dollar,Millions,656162.411
2626,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1995,US Dollar,Millions,687966.457
2627,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1996,US Dollar,Millions,711905.556
2628,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1997,US Dollar,Millions,755171.949
2629,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1998,US Dollar,Millions,793426.209
2630,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",1999,US Dollar,Millions,846421.343
2631,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2000,US Dollar,Millions,901044.804
2632,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2001,US Dollar,Millions,937280.441
2633,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2002,US Dollar,Millions,971009.088
2634,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2003,US Dollar,Millions,1023164.566
2635,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2004,US Dollar,Millions,1083147.9
2636,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2005,US Dollar,Millions,1171340.162
2637,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2006,US Dollar,Millions,1241188.41
2638,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2007,US Dollar,Millions,1300920.52
2639,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2008,US Dollar,Millions,1342396.6130000001
2640,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2009,US Dollar,Millions,1307934.637
2641,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2010,US Dollar,Millions,1364056.032
2642,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2011,US Dollar,Millions,1430807.125
2643,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2012,US Dollar,Millions,1468094.965
2644,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2013,US Dollar,Millions,1554122.745
2645,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2014,US Dollar,Millions,1621396.709
2646,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2015,US Dollar,Millions,1594899.2240000002
2647,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2016,US Dollar,Millions,1678387.0580000002
2648,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2017,US Dollar,Millions,1777241.886
2649,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2018,US Dollar,Millions,1855770.852
2650,CAN,Canada,Gross Domestic Product (GDP); millions,"USD, current prices, current PPPs",2019,US Dollar,Millions,1929897.148
2662,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1981,US Dollar,Units,13083.068737
2663,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1982,US Dollar,Units,13289.491490999999
2664,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1983,US Dollar,Units,14029.882343000001
2665,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1984,US Dollar,Units,15250.377972
2666,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1985,US Dollar,Units,16328.145768
2667,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1986,US Dollar,Units,16845.776469999997
2668,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1987,US Dollar,Units,17730.01245
2669,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1988,US Dollar,Units,18918.037969
2670,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1989,US Dollar,Units,19757.648199
2671,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1990,US Dollar,Units,20223.593808
2672,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1991,US Dollar,Units,20218.520712999998
2673,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1992,US Dollar,Units,20620.002408
2674,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1993,US Dollar,Units,21433.323698
2675,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1994,US Dollar,Units,22625.772763
2676,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1995,US Dollar,Units,23478.232041
2677,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1996,US Dollar,Units,24042.56382
2678,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1997,US Dollar,Units,25251.563635
2679,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1998,US Dollar,Units,26311.446099
2680,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",1999,US Dollar,Units,27841.629561
2681,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2000,US Dollar,Units,29363.642449000003
2682,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2001,US Dollar,Units,30214.480578
2683,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2002,US Dollar,Units,30963.222
2684,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2003,US Dollar,Units,32333.575422
2685,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2004,US Dollar,Units,33911.261369
2686,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2005,US Dollar,Units,36327.662044
2687,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2006,US Dollar,Units,38106.959546
2688,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2007,US Dollar,Units,39554.852113
2689,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2008,US Dollar,Units,40376.330152999995
2690,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2009,US Dollar,Units,38893.179125
2691,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2010,US Dollar,Units,40113.52697
2692,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2011,US Dollar,Units,41666.718842
2693,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2012,US Dollar,Units,42290.879081
2694,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2013,US Dollar,Units,44298.514458
2695,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2014,US Dollar,Units,45753.782942000005
2696,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2015,US Dollar,Units,44671.409511
2697,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2016,US Dollar,Units,46480.501314999994
2698,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2017,US Dollar,Units,48633.836153
2699,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2018,US Dollar,Units,50077.78672
2700,CAN,Canada,GDP per head of population,"USD, current prices, current PPPs",2019,US Dollar,Units,51341.714237
2712,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1981,US Dollar,Units,15.600328
2713,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1982,US Dollar,Units,16.792635
2714,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1983,US Dollar,Units,17.856071
2715,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1984,US Dollar,Units,19.003237
2716,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1985,US Dollar,Units,19.780203
2717,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1986,US Dollar,Units,20.006043
2718,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1987,US Dollar,Units,20.595337
2719,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1988,US Dollar,Units,21.526196
2720,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1989,US Dollar,Units,22.423934
2721,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1990,US Dollar,Units,23.23706
2722,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1991,US Dollar,Units,24.234092999999998
2723,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1992,US Dollar,Units,25.293516
2724,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1993,US Dollar,Units,26.416607
2725,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1994,US Dollar,Units,27.517141
2726,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1995,US Dollar,Units,28.437053000000002
2727,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1996,US Dollar,Units,28.894019
2728,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1997,US Dollar,Units,29.923246000000002
2729,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1998,US Dollar,Units,30.822981
2730,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",1999,US Dollar,Units,32.057433
2731,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2000,US Dollar,Units,33.465216
2732,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2001,US Dollar,Units,34.744439
2733,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2002,US Dollar,Units,35.507092
2734,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2003,US Dollar,Units,36.843534999999996
2735,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2004,US Dollar,Units,38.154084000000005
2736,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2005,US Dollar,Units,40.867404
2737,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2006,US Dollar,Units,42.642958
2738,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2007,US Dollar,Units,43.78517
2739,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2008,US Dollar,Units,44.60455
2740,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2009,US Dollar,Units,44.984429
2741,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2010,US Dollar,Units,45.971629
2742,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2011,US Dollar,Units,47.514339
2743,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2012,US Dollar,Units,48.013576
2744,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2013,US Dollar,Units,50.329908
2745,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2014,US Dollar,Units,52.382335
2746,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2015,US Dollar,Units,51.053165
2747,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2016,US Dollar,Units,53.36061899999999
2748,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2017,US Dollar,Units,55.817412
2749,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2018,US Dollar,Units,57.085264
2750,CAN,Canada,GDP per hour worked,"USD, current prices, current PPPs",2019,US Dollar,Units,58.704235
2762,CAN,Canada,GDP per person employed,"USD, current prices, current PPPs",1981,US Dollar,Units,28263.133972000003
2763,CAN,Canada,GDP per person employed,"USD, current prices, current PPPs",1982,US Dollar,Units,30043.132857999997
2764,CAN,Canada,GDP per person employed,"USD, current prices, current PPPs",1983,US Dollar,Units,31769.559521
2765,CAN,Canada,GDP per person employed,"USD, current prices, current PPPs",1984,US Dollar,Units,34004.506875
